symbol,launch_date,first_price,last_price_24h,performance_24h,max_gain_24h,max_loss_24h,high_24h,low_24h,total_volume_24h,candles_count
DUSDT,2025-01-09 15:30:00,0.20048,0.18734,-6.554269752593768,3.746009577015172,-16.101356743814847,0.20799,0.1682,476918054.0,24
KERNELUSDT,2025-04-14 17:30:00,0.397,0.2969,-25.214105793450887,3.274559193954649,-35.16372795969773,0.41,0.2574,2529143806.0,24
B3USDT,2025-02-13 16:30:00,0.01213,0.01047,-13.68507831821929,21.187139323990102,-16.900247320692497,0.0147,0.01008,12008701678.0,24
SOONUSDT,2025-05-23 13:30:00,0.4908,0.46802,-4.641401792991039,31.41809290953545,-14.704563977180115,0.645,0.41863,1134302203.0,24
SLPUSDT,2025-07-23 16:30:00,0.002565,0.00205,-20.077972709551652,0.0,-23.352826510721254,0.002565,0.001966,34024070587.0,24
SYRUPUSDT,2025-05-07 13:30:00,0.218,0.2201,0.9633027522935736,15.440366972477063,-10.596330275229363,0.25166,0.1949,625107700.0,24
DEEPUSDT,2025-04-22 13:30:00,0.12645,0.20298,60.52194543297745,78.18900751285092,-14.883353103993674,0.22532,0.10763,2584446302.0,24
SOLVUSDT,2025-01-17 17:30:00,0.159,0.1017,-36.03773584905661,0.0,-39.62264150943396,0.159,0.096,4882999711.0,24
YALAUSDT,2025-08-07 21:30:00,0.1886,0.3748,98.72746553552494,121.6861081654295,-3.0752916224814424,0.4181,0.1828,1710528924.0,24
AIOUSDT,2025-08-13 16:30:00,0.091,0.08258,-9.25274725274725,43.8131868131868,-14.285714285714285,0.13087,0.078,2521922827.0,24
VELVETUSDT,2025-07-15 14:30:00,0.065,0.06393,-1.6461538461538485,40.18461538461539,-8.36923076923077,0.09112,0.05956,1548612867.0,24
SOPHUSDT,2025-05-28 18:30:00,0.092,0.061633,-33.00760869565217,0.0,-35.70217391304348,0.092,0.059154,21233387952.0,24
NAORISUSDT,2025-07-31 17:30:00,0.061,0.0458,-24.918032786885245,19.344262295081975,-26.229508196721312,0.0728,0.045,3014823373.0,24
NEWTUSDT,2025-06-19 19:30:00,0.15,0.2468,64.53333333333333,138.39999999999998,0.0,0.3576,0.15,384673722.0,24
AAVEUSDC,2025-06-16 13:30:00,282.93,275.9,-2.484713533382826,3.7889230551726474,-3.95150744000283,293.65,271.75,24716.0,24
GPSUSDT,2025-02-17 22:30:00,0.141,0.1211,-14.113475177304958,1.4184397163120581,-29.078014184397155,0.143,0.1,1531554334.0,24
BDXNUSDT,2025-06-03 15:30:00,0.1,0.0675,-32.5,0.4299999999999998,-38.29,0.10043,0.06171,2449202625.0,24
ALPINEUSDT,2025-05-06 14:30:00,1.137,0.976,-14.160070360598068,10.554089709762522,-18.05628847845207,1.257,0.9317,102345583.0,24
PAXGUSDT,2025-03-27 15:30:00,2988.0,3079.13,3.049866131191436,4.719879518072296,0.0,3129.03,2988.0,10372.556,24
CVCUSDT,2025-05-16 13:30:00,0.12941,0.11909,-7.9746541998299945,6.954640290549423,-9.41967390464415,0.13841,0.11722,301903106.0,24
TRUMPUSDT,2025-01-18 18:30:00,22.099,69.391,214.00063351282864,260.649803158514,-19.81085116973619,79.7,17.721,540868894.4399999,24
AERGOUSDT,2025-04-16 16:30:00,0.328,0.1887,-42.46951219512195,31.09756097560975,-64.71646341463415,0.43,0.11573,4915787558.0,24
RESOLVUSDT,2025-06-10 18:30:00,0.20204,0.37914,87.65590972084735,102.93011284894081,-14.55157394575332,0.41,0.17264,4974382792.0,24
BROCCOLI714USDT,2025-03-21 14:30:00,0.04368,0.04659,6.662087912087919,24.473443223443237,-9.706959706959694,0.05437,0.03944,1990500186.0,24
JSTUSDT,2025-04-28 14:30:00,0.035101,0.038242,8.94846300675194,18.66898378963561,0.0,0.041654,0.035101,1333221005.0,24
LAUSDT,2025-06-05 14:30:00,1.039,1.514,45.71703561116459,72.66602502406161,-4.908565928777665,1.794,0.988,882870229.5999999,24
MILKUSDT,2025-05-06 18:30:00,0.11939,0.1094,-8.367534969427924,12.848647290392826,-11.173465114331176,0.13473,0.10605,688519381.0,24
AVAAIUSDT,2025-01-17 18:30:00,0.22957,0.17219,-24.994555037679135,5.632269024698347,-28.710197325434507,0.2425,0.16366,348751602.0,24
INUSDT,2025-08-07 15:30:00,0.0766,0.0825,7.7023498694517,53.18537859007832,-15.013054830287201,0.11734,0.0651,2696493487.0,24
PTBUSDT,2025-09-03 17:30:00,0.02979,0.02854,-4.19603893924136,18.227593152064454,-25.041960389392422,0.03522,0.02233,7978676988.0,24
CUDISUSDT,2025-08-20 16:30:00,0.11859,0.08832,-25.524917783961556,2.8501559996626984,-28.32447929842313,0.12197,0.085,1367719374.0,24
FORTHUSDT,2025-04-08 13:30:00,2.482,3.371,35.817888799355345,67.6067687348912,-7.937147461724418,4.16,2.285,198498138.79999998,24
DMCUSDT,2025-06-24 18:30:00,0.00516,0.005139,-0.4069767441860333,73.44961240310079,-23.95348837209301,0.00895,0.003924,66968554427.0,24
BTRUSDT,2025-08-27 15:30:00,0.15,0.08893,-40.71333333333334,0.06666666666667784,-48.71333333333333,0.1501,0.07693,2644577301.0,24
ETHUSDT_250926,2025-03-28 13:30:00,1998.0,1926.92,-3.5575575575575535,0.10010010010010009,-4.4909909909909915,2000.0,1908.27,5156.432,24
TREEUSDT,2025-07-29 19:30:00,1.021,0.5498,-46.15083251714005,29.578844270323216,-47.3947110675808,1.323,0.5371,1400466785.0,24
DEXEUSDT,2024-12-24 16:30:00,12.73,13.705,7.65907305577376,24.501178318931654,-1.429693637077772,15.849,12.548,4355170.340000001,24
FUSDT,2025-06-18 17:30:00,0.009045,0.009407,4.002211166390285,12.50414593698176,-4.201216141514632,0.010176,0.008665,13091264867.0,24
SIRENUSDT,2025-03-22 14:30:00,0.07532,0.06388,-15.188528943175772,28.080191184280405,-18.295273499734467,0.09647,0.06154,1170366475.0,24
TAIKOUSDT,2025-06-11 17:30:00,0.5021,0.5454,8.62378012348138,14.6584345747859,0.0,0.5757,0.5021,91360387.0,24
TAGUSDT,2025-07-25 16:30:00,0.0006378,0.0007503,17.638758231420503,21.621197867670123,-11.053621825023525,0.0007757,0.0005673,106767610186.0,24
REDUSDT,2025-03-06 21:30:00,0.8413,0.647,-23.095209794365864,10.54320694163794,-32.61618923095211,0.93,0.5669,1026086965.0,24
HEIUSDT,2025-02-13 14:30:00,1.0373,0.802,-22.683890870529265,23.40692181625372,-28.323532247180182,1.2801,0.7435,684201297.0,24
OBOLUSDT,2025-05-07 15:30:00,0.422,0.27826,-34.06161137440758,4.265402843601899,-38.672985781990526,0.44,0.2588,706283907.0,24
STOUSDT,2025-04-12 19:30:00,0.07541,0.08824,17.013658665959415,61.34464925076249,0.0,0.12167,0.07541,927171320.0,24
HEMIUSDT,2025-08-29 09:30:00,0.022,0.020725,-5.795454545454539,36.99545454545455,-12.686363636363629,0.030139,0.019209,11305903003.0,24
ATHUSDT,2025-04-02 20:30:00,0.03183,0.02779,-12.692428526547278,2.7961043041156204,-13.603518693056857,0.03272,0.0275,1214343716.0,24
MYXUSDT,2025-06-18 17:30:00,0.0778,0.05354,-31.182519280205657,11.825192802056556,-33.00771208226221,0.087,0.05212,2073442220.0,24
PUMPBTCUSDT,2025-06-13 15:30:00,0.0439,0.05026,14.487471526195893,22.892938496583135,-4.191343963553534,0.05395,0.04206,3245926324.0,24
PUFFERUSDT,2025-06-04 13:30:00,0.23047,0.21501,-6.708031414066908,1.8831084305983352,-8.990324120275965,0.23481,0.20975,183308088.0,24
KAITOUSDT,2025-02-20 18:30:00,1.494,1.769,18.40696117804551,41.12449799196787,-41.57965194109772,2.1084,0.8728,3113603831.1000004,24
BTCUSDT_250926,2025-03-28 13:30:00,87240.0,86075.6,-1.3347088491517585,1.5812700596056857,-1.4212517193947665,88619.5,86000.1,244.54600000000005,24
OPENUSDT,2025-09-08 18:30:00,0.551,1.1283,104.77313974591651,243.28493647912885,-9.98185117967333,1.8915,0.496,1394524396.0,24
STBLUSDT,2025-09-17 10:30:00,0.18163,0.16994,-6.436161427077028,34.6969113031988,-14.49650388151738,0.24465,0.1553,649708205.0,5
TANSSIUSDT,2025-07-09 16:30:00,0.04895,0.07613,55.52604698672114,74.25944841675178,-6.843718079673133,0.0853,0.0456,7340253470.0,24
