symbol,profitable,total_profit_usd,final_capital,trade_type,entry_price,exit_price,profit_pct,exit_reason,duration_hours,entry_time,exit_time
VVVUSDT,True,400.0,2400.0,short,9.893,7.9144000000000005,20.0,Target Hit,21.0,2025-01-29 08:00:00,2025-01-30 05:00:00
WALUSDT,False,-140.00000000000009,1860.0,short,0.465,0.49755000000000005,-7.000000000000004,Stop Loss,1.0,2025-03-27 15:00:00,2025-03-27 16:00:00
WCTUSDT,False,-140.00000000000017,1859.9999999999998,long,0.3489,0.32447699999999996,-7.000000000000008,Stop Loss,1.0,2025-04-15 11:00:00,2025-04-15 12:00:00
WLFIUSDC,False,-140.00000000000023,1859.9999999999998,short,0.2073,0.22181100000000004,-7.0000000000000115,Stop Loss,23.0,2025-09-08 08:00:00,2025-09-09 07:00:00
WLFIUSDT,True,400.00000000000006,2400.0,long,0.3661,0.43932,20.000000000000004,Target Hit,3.0,2025-08-23 08:00:00,2025-08-23 11:00:00
XCNUSDT,False,-140.0000000000001,1860.0,long,0.02435,0.0226455,-7.000000000000004,Stop Loss,6.0,2025-04-11 15:00:00,2025-04-11 21:00:00
XNYUSDT,False,-140.00000000000006,1860.0,long,0.014458,0.01344594,-7.000000000000002,Stop Loss,1.0,2025-08-13 11:00:00,2025-08-13 12:00:00
XPINUSDT,True,400.0000000000001,2400.0,long,0.0019201,0.00230412,20.000000000000004,Target Hit,2.0,2025-09-12 08:00:00,2025-09-12 10:00:00
XPLUSDT,False,-140.00000000000009,1860.0,long,0.4982,0.46332599999999996,-7.0000000000000036,Stop Loss,1.0,2025-08-22 09:00:00,2025-08-22 10:00:00
YALAUSDT,False,-140.00000000000009,1860.0,long,0.3559,0.330987,-7.000000000000004,Stop Loss,1.0,2025-08-07 16:00:00,2025-08-07 17:00:00
ZEREBROUSDT,False,-140.0000000000001,1860.0,long,0.6781,0.630633,-7.000000000000004,Stop Loss,12.0,2025-01-02 14:00:00,2025-01-03 02:00:00
ZKCUSDT,True,399.99999999999994,2400.0,short,1.1906,0.9524800000000001,20.0,Target Hit,2.0,2025-09-15 14:00:00,2025-09-15 16:00:00
ZKJUSDT,False,-21.677662582469075,1978.322337417531,long,2.122,2.099,-1.0838831291234536,End of Data,23.0,2025-05-13 09:00:00,2025-05-14 08:00:00
ZORAUSDT,False,-140.00000000000006,1860.0,short,0.04014,0.0429498,-7.000000000000002,Stop Loss,1.0,2025-07-25 11:00:00,2025-07-25 12:00:00
ZRCUSDT,True,400.00000000000006,2400.0,long,0.03744,0.044928,20.000000000000004,Target Hit,7.0,2025-07-29 09:00:00,2025-07-29 16:00:00
